station,lat,lon,time,algae
S-16,24.26230555,121.2062778,1999/1/4,0
S-18,24.26019444,121.2093611,1999/1/4,4
S-20,24.26163889,121.2117222,1999/1/4,4
S-22,24.26302778,121.2214722,1999/1/4,1
S-24,24.26297222,121.2259167,1999/1/4,0
S-26,24.26602778,121.2280833,1999/1/4,1
S-28,24.26866666,121.2285833,1999/1/4,0
S-30,0,0,1999/1/4,0
S-32,0,0,1999/1/4,0
S-34,0,0,1999/1/4,0
S-36,0,0,1999/1/4,0
S-38,0,0,1999/1/4,1
S-39,0,0,1999/1/4,1
S-40,0,0,1999/1/4,0
志樂溪   R010,0,0,1999/1/4,
谷關上,0,0,1999/1/4,
S-2,24.25522222,121.1728333,1999/5/4,50
S-4,24.25888889,121.17825,1999/5/4,73
S-6,24.26330556,121.1820833,1999/5/4,47
S-8,24.26580556,121.1878056,1999/5/4,187
S-10,24.26527777,121.1925833,1999/5/4,118
S-12,24.26536111,121.1968333,1999/5/4,215
S-14,24.26438888,121.2035833,1999/5/4,208
S-16,24.26230555,121.2062778,1999/5/4,149
S-18,24.26019444,121.2093611,1999/5/4,97
S-20,24.26163889,121.2117222,1999/5/4,281
S-22,24.26302778,121.2214722,1999/5/4,144
S-24,24.26297222,121.2259167,1999/5/4,205
S-26,24.26602778,121.2280833,1999/5/4,202
S-28,24.26866666,121.2285833,1999/5/4,147
S-30,0,0,1999/5/4,192
S-32,0,0,1999/5/4,123
S-34,0,0,1999/5/4,117
S-36,0,0,1999/5/4,160
S-38,0,0,1999/5/4,79
S-39,0,0,1999/5/4,64
S-40,0,0,1999/5/4,64
志樂溪   R010,0,0,1999/5/4,
谷關上,0,0,1999/5/4,
S-2,24.25522222,121.1728333,1999/7/4,83
S-4,24.25888889,121.17825,1999/7/4,28
S-6,24.26330556,121.1820833,1999/7/4,119
S-8,24.26580556,121.1878056,1999/7/4,159
S-10,24.26527777,121.1925833,1999/7/4,108
S-12,24.26536111,121.1968333,1999/7/4,164
S-14,24.26438888,121.2035833,1999/7/4,106
S-16,24.26230555,121.2062778,1999/7/4,184
S-18,24.26019444,121.2093611,1999/7/4,201
S-20,24.26163889,121.2117222,1999/7/4,314
S-22,24.26302778,121.2214722,1999/7/4,203
S-24,24.26297222,121.2259167,1999/7/4,164
S-26,24.26602778,121.2280833,1999/7/4,166
S-28,24.26866666,121.2285833,1999/7/4,216
S-30,0,0,1999/7/4,434
S-32,0,0,1999/7/4,208
S-34,0,0,1999/7/4,88
S-36,0,0,1999/7/4,212
S-38,0,0,1999/7/4,131
S-39,0,0,1999/7/4,301
S-40,0,0,1999/7/4,282
志樂溪   R010,0,0,1999/7/4,
谷關上,0,0,1999/7/4,
S-2,24.25522222,121.1728333,2000/2/4,114
S-4,24.25888889,121.17825,2000/2/4,99
S-6,24.26330556,121.1820833,2000/2/4,174
S-8,24.26580556,121.1878056,2000/2/4,61
S-10,24.26527777,121.1925833,2000/2/4,48
S-12,24.26536111,121.1968333,2000/2/4,127
